Common Name,Scientific Name,State,Counts,Every Year,Total Years,Years
Orange-crowned Warbler (Gray-headed),Leiothlypis celata celata/orestera,WA,41,false,1,"""2022"""
Osprey (carolinensis),Pandion haliaetus carolinensis,WA,152,false,1,"""2022"""
Pacific-slope Flycatcher,Empidonax difficilis,WA,2875,false,1,"""2022"""
Purple Martin,Progne subis,WA,1451,false,1,"""2022"""
Red-naped Sapsucker,Sphyrapicus nuchalis,WA,2,false,1,"""2022"""
Semipalmated Plover,Charadrius semipalmatus,WA,100,false,1,"""2022"""
Semipalmated Sandpiper,Calidris pusilla,WA,44,false,1,"""2022"""
Solitary Sandpiper,Tringa solitaria,WA,82,false,1,"""2022"""
Swainsons Hawk,Buteo swainsoni,WA,10,false,1,"""2022"""
swift sp.,Apodidae sp.,WA,36,false,1,"""2022"""
tern sp.,Sterninae sp.,WA,22,false,1,"""2022"""
Tringa sp.,Tringa sp.,WA,1,false,1,"""2022"""
Vauxs Swift,Chaetura vauxi,WA,1169,false,1,"""2022"""
Vesper Sparrow,Pooecetes gramineus,WA,22,false,1,"""2022"""
vireo sp.,Vireo sp.,WA,12,false,1,"""2022"""
Warbling Vireo,Vireo gilvus,WA,2296,false,1,"""2022"""
Warbling Vireo (Western),Vireo gilvus [swainsoni Group],WA,163,false,1,"""2022"""
Western Bluebird,Sialia mexicana,WA,24,false,1,"""2022"""
Western Kingbird,Tyrannus verticalis,WA,176,false,1,"""2022"""
Western Sandpiper,Calidris mauri,WA,368,false,1,"""2022"""
White-crowned Sparrow (Dark-lored),Zonotrichia leucophrys leucophrys/oriantha,WA,5,false,1,"""2022"""
Whimbrel,Numenius phaeopus,WA,65,false,1,"""2022"""
Whimbrel (Hudsonian),Numenius phaeopus hudsonicus,WA,28,false,1,"""2022"""
Wilsons Warbler,Cardellina pusilla,WA,3265,false,1,"""2022"""
Hammonds/Dusky Flycatcher,Empidonax hammondii/oberholseri,WA,9,false,1,"""2022"""
Greater/Lesser Yellowlegs,Tringa melanoleuca/flavipes,WA,7,false,1,"""2022"""
gull/tern sp.,Laridae sp.,WA,115,false,1,"""2022"""
Eurasian/African Collared-Dove,Streptopelia decaocto/roseogrisea,WA,2,false,1,"""2022"""
Black-throated Gray/Townsends Warbler,Setophaga nigrescens/townsendi,WA,41,false,1,"""2022"""
Yellow Warbler,Setophaga petechia,WA,2109,false,1,"""2022"""
Ancient Murrelet,Synthliboramphus antiquus,WA,64,false,1,"""2022"""
Black Swift,Cypseloides niger,WA,169,false,1,"""2022"""
Brown Pelican,Pelecanus occidentalis,WA,174,false,1,"""2022"""
Common Nighthawk,Chordeiles minor,WA,92,false,1,"""2022"""
Forsters Tern,Sterna forsteri,WA,36,false,1,"""2022"""
Gray Flycatcher,Empidonax wrightii,WA,47,false,1,"""2022"""
Canada Jay (Pacific),Perisoreus canadensis obscurus/griseus,WA,1,false,1,"""2022"""
Hermit Warbler,Setophaga occidentalis,WA,1,false,1,"""2022"""
Horned Puffin,Fratercula corniculata,WA,10,false,1,"""2022"""
House Wren,Troglodytes aedon,WA,31,false,1,"""2022"""
Indian Peafowl (Domestic type),Pavo cristatus (Domestic type),WA,1,false,1,"""2022"""
jaeger sp.,Stercorarius sp. (jaeger sp.),WA,19,false,1,"""2022"""
Lark Sparrow,Chondestes grammacus,WA,9,false,1,"""2022"""
Lazuli Bunting,Passerina amoena,WA,687,false,1,"""2022"""
Lewiss Woodpecker,Melanerpes lewis,WA,13,false,1,"""2022"""
MacGillivrays Warbler,Geothlypis tolmiei,WA,236,false,1,"""2022"""
Parasitic Jaeger,Stercorarius parasiticus,WA,108,false,1,"""2022"""
Red-breasted Sapsucker (ruber),Sphyrapicus ruber ruber,WA,6,false,1,"""2022"""
Red-eyed Vireo,Vireo olivaceus,WA,214,false,1,"""2022"""
Red-necked Phalarope,Phalaropus lobatus,WA,168,false,1,"""2022"""
Sabines Gull,Xema sabini,WA,23,false,1,"""2022"""
Short-billed Dowitcher,Limnodromus griseus,WA,15,false,1,"""2022"""
Solitary Sandpiper (cinnamomea),Tringa solitaria cinnamomea,WA,1,false,1,"""2022"""
Sooty Shearwater,Ardenna grisea,WA,2,false,1,"""2022"""
Swainsons Thrush,Catharus ustulatus,WA,2919,false,1,"""2022"""
Swainsons Thrush (Russet-backed),Catharus ustulatus [ustulatus Group],WA,106,false,1,"""2022"""
Wandering Tattler,Tringa incana,WA,43,false,1,"""2022"""
Western Wood-Pewee,Contopus sordidulus,WA,1983,false,1,"""2022"""
Willow Flycatcher,Empidonax traillii,WA,1845,false,1,"""2022"""
Wilsons Phalarope,Phalaropus tricolor,WA,7,false,1,"""2022"""
Western x Clarks Grebe (hybrid),Aechmophorus occidentalis x clarkii,WA,2,false,1,"""2022"""
Semipalmated/Western Sandpiper,Calidris pusilla/mauri,WA,8,false,1,"""2022"""
Gray/Dusky Flycatcher,Empidonax wrightii/oberholseri,WA,3,false,1,"""2022"""
Townsends/Hermit Warbler,Setophaga townsendi/occidentalis,WA,6,false,1,"""2022"""
Yellow Warbler (Northern),Setophaga petechia [aestiva Group],WA,112,false,1,"""2022"""
American Redstart,Setophaga ruticilla,WA,33,false,1,"""2022"""
Ash-throated Flycatcher,Myiarchus cinerascens,WA,21,false,1,"""2022"""
Black Oystercatcher,Haematopus bachmani,WA,2,false,1,"""2022"""
Blue Grosbeak,Passerina caerulea,WA,74,false,1,"""2022"""
Cassins Auklet,Ptychoramphus aleuticus,WA,17,false,1,"""2022"""
Chestnut-sided Warbler,Setophaga pensylvanica,WA,1,false,1,"""2022"""
Chukar,Alectoris chukar,WA,2,false,1,"""2022"""
Clarks Nutcracker,Nucifraga columbiana,WA,9,false,1,"""2022"""
Fox Sparrow (Slate-colored),Passerella iliaca [schistacea Group],WA,8,false,1,"""2022"""
Franklins Gull,Leucophaeus pipixcan,WA,10,false,1,"""2022"""
Gray-crowned Rosy-Finch,Leucosticte tephrocotis,WA,4,false,1,"""2022"""
Green-tailed Towhee,Pipilo chlorurus,WA,3,false,1,"""2022"""
Leachs Storm-Petrel,Hydrobates leucorhous,WA,15,false,1,"""2022"""
Least Flycatcher,Empidonax minimus,WA,66,false,1,"""2022"""
Mute Swan,Cygnus olor,WA,1,false,1,"""2022"""
Red Crossbill (Douglas-fir or type 4),Loxia curvirostra (type 4),WA,4,false,1,"""2022"""
Rose-breasted Grosbeak,Pheucticus ludovicianus,WA,1,false,1,"""2022"""
Blue-winged/Cinnamon Teal,Spatula discors/cyanoptera,WA,26,false,1,"""2022"""
Rose-breasted/Black-headed Grosbeak,Pheucticus ludovicianus/melanocephalus,WA,2,false,1,"""2022"""
Yellow-breasted Chat,Icteria virens,WA,2,false,1,"""2022"""
Black-backed Woodpecker,Picoides arcticus,WA,25,false,1,"""2022"""
bluebird sp.,Sialia sp.,WA,2,false,1,"""2022"""
Common Tern,Sterna hirundo,WA,1,false,1,"""2022"""
Gray Catbird,Dumetella carolinensis,WA,2,false,1,"""2022"""
Hairy Woodpecker (Rocky Mts.),Dryobates villosus orius/icastus,WA,2,false,1,"""2022"""
Manx Shearwater,Puffinus puffinus,WA,18,false,1,"""2022"""
Pectoral Sandpiper,Calidris melanotos,WA,176,false,1,"""2022"""
Sterna sp.,Sterna sp.,WA,3,false,1,"""2022"""
Townsends x Hermit Warbler (hybrid),Setophaga townsendi x occidentalis,WA,2,false,1,"""2022"""
Masked/Nazca Booby,Sula dactylatra/granti,WA,1,false,1,"""2022"""
American Dipper (Northern),Cinclus mexicanus [mexicanus Group],WA,1,false,1,"""2022"""
American Three-toed Woodpecker,Picoides dorsalis,WA,6,false,1,"""2022"""
Bairds Sandpiper,Calidris bairdii,WA,62,false,1,"""2022"""
Black-crowned Night-Heron,Nycticorax nycticorax,WA,1,false,1,"""2022"""
Gadwall (Common),Mareca strepera strepera,WA,1,false,1,"""2022"""
Gray-crowned Rosy-Finch (Hepburns),Leucosticte tephrocotis littoralis,WA,2,false,1,"""2022"""
Golden Pheasant,Chrysolophus pictus,WA,1,false,1,"""2022"""
Nazca Booby,Sula granti,WA,8,false,1,"""2022"""
Northern Goshawk,Accipiter gentilis,WA,2,false,1,"""2022"""
phalarope sp.,Phalaropus sp.,WA,6,false,1,"""2022"""
Red-shouldered Hawk (elegans),Buteo lineatus elegans,WA,1,false,1,"""2022"""
Tufted Puffin,Fratercula cirrhata,WA,8,false,1,"""2022"""
Pacific-slope/Cordilleran Flycatcher (Western Flycatcher),Empidonax difficilis/occidentalis,WA,1,false,1,"""2022"""
White-throated Swift,Aeronautes saxatalis,WA,2,false,1,"""2022"""
Sooty/Short-tailed Shearwater,Ardenna grisea/tenuirostris,WA,6,false,1,"""2022"""
American Three-toed/Black-backed Woodpecker,Picoides dorsalis/arcticus,WA,2,false,1,"""2022"""
Red-necked/Red Phalarope,Phalaropus lobatus/fulicarius,WA,3,false,1,"""2022"""
Purple/Cassins Finch,Haemorhous purpureus/cassinii,WA,7,false,1,"""2022"""
Golden/Bald Eagle,Aquila chrysaetos/Haliaeetus leucocephalus,WA,2,false,1,"""2022"""
Acorn Woodpecker,Melanerpes formicivorus,WA,8,false,1,"""2022"""
Arctic Tern,Sterna paradisaea,WA,14,false,1,"""2022"""
Black-legged Kittiwake,Rissa tridactyla,WA,5,false,1,"""2022"""
Black-necked Stilt,Himantopus mexicanus,WA,18,false,1,"""2022"""
Black-necked Stilt (Black-necked),Himantopus mexicanus mexicanus,WA,1,false,1,"""2022"""
Brown Booby,Sula leucogaster,WA,6,false,1,"""2022"""
Broad-winged Hawk,Buteo platypterus,WA,2,false,1,"""2022"""
Lapland Longspur,Calcarius lapponicus,WA,7,false,1,"""2022"""
large falcon sp.,Falco sp. (large falcon sp.),WA,1,false,1,"""2022"""
Sharp-tailed Sandpiper,Calidris acuminata,WA,93,false,1,"""2022"""
Stilt Sandpiper,Calidris himantopus,WA,19,false,1,"""2022"""
Common/Arctic Tern,Sterna hirundo/paradisaea,WA,2,false,1,"""2022"""
